source	query_id	method	half	ndcg@10	ndcg@100
real_295	5026	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5026	bge_m3_hybrid	inferior	0.5	0.5
real_295	5027	bm25	inferior	0.31546487678572877	0.31546487678572877
real_295	5027	e5	inferior	0.3333333333333333	0.3333333333333333
real_295	5027	e5_hybrid	inferior	0.31546487678572877	0.31546487678572877
real_295	5027	bge_m3_hybrid	inferior	0.3333333333333333	0.3333333333333333
real_295	5028	bm25	inferior	0.43067655807339306	0.43067655807339306
real_295	5028	e5	inferior	0.38685280723454163	0.38685280723454163
real_295	5028	e5_hybrid	inferior	0.38685280723454163	0.38685280723454163
real_295	5028	bge_m3_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5029	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	5029	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	5029	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5029	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5041	bm25	inferior	0.5	0.5
real_295	5041	e5	inferior	0.5	0.5
real_295	5041	e5_hybrid	inferior	0.43067655807339306	0.43067655807339306
real_295	5041	bge_m3_hybrid	inferior	0.5	0.5
real_295	5287	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5287	e5	superior	0.43067655807339306	0.43067655807339306
real_295	5287	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5287	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5289	bm25	superior	0.6934264036172708	0.6934264036172708
real_295	5289	e5	superior	0.7903864795495061	0.7903864795495061
real_295	5289	e5_hybrid	superior	0.5912352048230277	0.5912352048230277
real_295	5289	bge_m3_hybrid	superior	0.6934264036172708	0.6934264036172708
real_295	5290	bm25	superior	0.6934264036172708	0.6934264036172708
real_295	5290	e5	superior	0.7977228895450266	0.7977228895450266
real_295	5290	e5_hybrid	superior	0.5912352048230277	0.5912352048230277
real_295	5290	bge_m3_hybrid	superior	0.6934264036172708	0.6934264036172708
real_295	5292	bm25	superior	0.6934264036172708	0.6934264036172708
real_295	5292	e5	superior	0.6131471927654584	0.7741900178546666
real_295	5292	e5_hybrid	superior	0.5802792108518124	0.5802792108518124
real_295	5292	bge_m3_hybrid	superior	0.6934264036172708	0.6934264036172708
real_295	5293	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5293	e5	superior	0.31546487678572877	0.31546487678572877
real_295	5293	e5_hybrid	superior	0.43067655807339306	0.43067655807339306
real_295	5293	bge_m3_hybrid	superior	0.5	0.5
real_295	5294	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5294	e5	superior	0.3333333333333333	0.3333333333333333
real_295	5294	e5_hybrid	superior	0.43067655807339306	0.43067655807339306
real_295	5294	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5295	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5295	e5	superior	0.2890648263178879	0.2890648263178879
real_295	5295	e5_hybrid	superior	0.3333333333333333	0.3333333333333333
real_295	5295	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5296	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5296	e5	superior	0.0	0.26264953503719357
real_295	5296	e5_hybrid	superior	0.31546487678572877	0.31546487678572877
real_295	5296	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5297	bm25	superior	1.0	1.0
real_295	5297	e5	superior	0.38685280723454163	0.38685280723454163
real_295	5297	e5_hybrid	superior	1.0	1.0
real_295	5297	bge_m3_hybrid	superior	1.0	1.0
real_295	5298	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5298	e5	superior	0.3010299956639812	0.3010299956639812
real_295	5298	e5_hybrid	superior	0.3562071871080222	0.3562071871080222
real_295	5298	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5299	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5299	e5	superior	0.31546487678572877	0.31546487678572877
real_295	5299	e5_hybrid	superior	0.5	0.5
real_295	5299	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5300	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5300	e5	superior	0.5	0.5
real_295	5300	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5300	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5301	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5301	e5	superior	0.2890648263178879	0.2890648263178879
real_295	5301	e5_hybrid	superior	0.3562071871080222	0.3562071871080222
real_295	5301	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5302	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5302	e5	superior	0.43067655807339306	0.43067655807339306
real_295	5302	e5_hybrid	superior	0.5	0.5
real_295	5302	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5307	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5307	e5	superior	0.31546487678572877	0.31546487678572877
real_295	5307	e5_hybrid	superior	0.5	0.5
real_295	5307	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5309	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5309	e5	superior	0.38685280723454163	0.38685280723454163
real_295	5309	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5309	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5310	bm25	superior	0.43067655807339306	0.43067655807339306
real_295	5310	e5	superior	0.31546487678572877	0.31546487678572877
real_295	5310	e5_hybrid	superior	0.38685280723454163	0.38685280723454163
real_295	5310	bge_m3_hybrid	superior	0.43067655807339306	0.43067655807339306
real_295	5312	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5312	e5	superior	0.31546487678572877	0.31546487678572877
real_295	5312	e5_hybrid	superior	0.38685280723454163	0.38685280723454163
real_295	5312	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5338	bm25	inferior	0.2890648263178879	0.2890648263178879
real_295	5338	e5	inferior	0.2890648263178879	0.2890648263178879
real_295	5338	e5_hybrid	inferior	0.2890648263178879	0.2890648263178879
real_295	5338	bge_m3_hybrid	inferior	0.2890648263178879	0.2890648263178879
real_295	5474	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	5474	e5	inferior	0.6309297535714575	0.6309297535714575
real_295	5474	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5474	bge_m3_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5553	bm25	superior	0.6309297535714575	0.6309297535714575
real_295	5553	e5	superior	0.6309297535714575	0.6309297535714575
real_295	5553	e5_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5553	bge_m3_hybrid	superior	0.6309297535714575	0.6309297535714575
real_295	5604	bm25	inferior	1.0	1.0
real_295	5604	e5	inferior	1.0	1.0
real_295	5604	e5_hybrid	inferior	1.0	1.0
real_295	5604	bge_m3_hybrid	inferior	1.0	1.0
real_295	5618	bm25	inferior	0.5	0.5
real_295	5618	e5	inferior	1.0	1.0
real_295	5618	e5_hybrid	inferior	1.0	1.0
real_295	5618	bge_m3_hybrid	inferior	1.0	1.0
real_295	5620	bm25	inferior	0.6309297535714575	0.6309297535714575
real_295	5620	e5	inferior	1.0	1.0
real_295	5620	e5_hybrid	inferior	0.6309297535714575	0.6309297535714575
real_295	5620	bge_m3_hybrid	inferior	1.0	1.0
real_295	5915	bm25	inferior	1.0	1.0
real_295	5915	e5	inferior	1.0	1.0
real_295	5915	e5_hybrid	inferior	1.0	1.0
real_295	5915	bge_m3_hybrid	inferior	1.0	1.0
real_295	5920	bm25	inferior	1.0	1.0
real_295	5920	e5	inferior	1.0	1.0
