method;half;recall;precision_interpolated
bm25;inferior;0.4293785310734463;0.19127988748241911
bm25;inferior;0.4312617702448211;0.19127988748241911
bm25;inferior;0.4331450094161959;0.19127988748241911
bm25;inferior;0.4350282485875706;0.19127988748241911
bm25;inferior;0.4369114877589454;0.19127988748241911
bm25;inferior;0.4387947269303202;0.19127988748241911
bm25;inferior;0.4406779661016949;0.19127988748241911
bm25;inferior;0.4444444444444444;0.19127988748241911
bm25;inferior;0.4463276836158192;0.19127988748241911
bm25;inferior;0.448210922787194;0.19127988748241911
bm25;inferior;0.4519774011299435;0.19127988748241911
bm25;inferior;0.455743879472693;0.19127988748241911
bm25;inferior;0.4632768361581921;0.19127988748241911
bm25;inferior;0.4670433145009416;0.19127988748241911
bm25;inferior;0.4689265536723164;0.19127988748241911
bm25;inferior;0.4726930320150659;0.19127988748241911
bm25;inferior;0.4745762711864407;0.19127988748241911
bm25;inferior;0.4783427495291902;0.19127988748241911
bm25;inferior;0.480225988700565;0.19127988748241911
bm25;inferior;0.4821092278719397;0.19127988748241911
bm25;inferior;0.4839924670433145;0.19127988748241911
bm25;inferior;0.4896421845574388;0.19127988748241911
bm25;inferior;0.4915254237288136;0.19127988748241911
bm25;inferior;0.4934086629001883;0.19127988748241911
bm25;inferior;0.4952919020715631;0.19127988748241911
bm25;inferior;0.4971751412429379;0.19127988748241911
bm25;inferior;0.4990583804143126;0.19127988748241911
bm25;inferior;0.5009416195856874;0.19127988748241911
bm25;inferior;0.5028248587570622;0.19127988748241911
bm25;inferior;0.5065913370998116;0.19127988748241911
bm25;inferior;0.5084745762711864;0.19127988748241911
bm25;inferior;0.5103578154425612;0.19127988748241911
bm25;inferior;0.512241054613936;0.19127988748241911
bm25;inferior;0.5141242937853108;0.19050942079553385
bm25;inferior;0.5160075329566854;0.18356527501656728
bm25;inferior;0.519774011299435;0.18356527501656728
bm25;inferior;0.5216572504708098;0.18356527501656728
bm25;inferior;0.5235404896421846;0.18337730870712401
bm25;inferior;0.5254237288135594;0.18193548387096775
bm25;inferior;0.527306967984934;0.18193548387096775
bm25;inferior;0.5291902071563088;0.18193548387096775
bm25;inferior;0.5310734463276836;0.18193548387096775
bm25;inferior;0.5329566854990584;0.18027638190954773
bm25;inferior;0.5348399246704332;0.18027638190954773
bm25;inferior;0.536723163841808;0.18027638190954773
bm25;inferior;0.5386064030131826;0.18027638190954773
bm25;inferior;0.5404896421845574;0.18027638190954773
bm25;inferior;0.5423728813559322;0.17964438994481913
bm25;inferior;0.544256120527307;0.17964438994481913
bm25;inferior;0.551789077212806;0.17964438994481913
bm25;inferior;0.5536723163841808;0.1794871794871795
bm25;inferior;0.5574387947269304;0.178743961352657
bm25;inferior;0.5612052730696798;0.17612293144208038
bm25;inferior;0.5630885122410546;0.1756210283073368
bm25;inferior;0.5649717514124294;0.1756210283073368
bm25;inferior;0.5668549905838042;0.1756210283073368
bm25;inferior;0.568738229755179;0.1756210283073368
bm25;inferior;0.5706214689265536;0.1756210283073368
bm25;inferior;0.5725047080979284;0.1756210283073368
bm25;inferior;0.576271186440678;0.17333333333333334
bm25;inferior;0.5781544256120528;0.17333333333333334
bm25;inferior;0.5800376647834274;0.17333333333333334
bm25;inferior;0.5819209039548022;0.17333333333333334
bm25;inferior;0.583804143126177;0.17333333333333334
bm25;inferior;0.5856873822975518;0.17333333333333334
bm25;inferior;0.5875706214689266;0.17333333333333334
bm25;inferior;0.5894538606403014;0.1727373068432671
bm25;inferior;0.591337099811676;0.17233809001097694
bm25;inferior;0.5932203389830508;0.17167381974248927
bm25;inferior;0.5969868173258004;0.17167381974248927
bm25;inferior;0.6026365348399246;0.17167381974248927
bm25;inferior;0.6045197740112994;0.17
bm25;inferior;0.6064030131826742;0.17
bm25;inferior;0.608286252354049;0.17
bm25;inferior;0.6101694915254238;0.168481078278901
bm25;inferior;0.6120527306967984;0.168481078278901
bm25;inferior;0.6139359698681732;0.16795466254507985
bm25;inferior;0.615819209039548;0.1672634271099744
bm25;inferior;0.6177024482109228;0.16466466466466467
bm25;inferior;0.6195856873822976;0.16466466466466467
bm25;inferior;0.6214689265536724;0.16334106728538283
bm25;inferior;0.623352165725047;0.16334106728538283
bm25;inferior;0.6271186440677966;0.16334106728538283
bm25;inferior;0.6308851224105462;0.16334106728538283
bm25;inferior;0.632768361581921;0.16334106728538283
bm25;inferior;0.6346516007532956;0.16334106728538283
bm25;inferior;0.6384180790960452;0.16334106728538283
bm25;inferior;0.64030131826742;0.16334106728538283
bm25;inferior;0.6421845574387948;0.16334106728538283
bm25;inferior;0.6459510357815442;0.16334106728538283
bm25;inferior;0.6497175141242938;0.16334106728538283
