source	query_id	target_id	jaccard
real_295	35648	126896	0.875
real_295	6197	126897	0.7333333333333333
real_295	35688	126897	0.7333333333333333
real_295	5474	126897	0.7333333333333333
real_295	6198	126898	0.84
real_295	6199	126899	0.8461538461538461
real_295	35700	126899	0.8461538461538461
real_295	5553	126899	0.8461538461538461
real_295	6214	126900	0.8518518518518519
real_295	2318	126900	0.7857142857142857
real_295	6215	126901	0.84
real_295	6216	126902	0.8461538461538461
real_295	6217	126902	0.7407407407407407
real_295	19971	126902	0.25
real_295	45473	126902	0.7407407407407407
real_295	12811	126902	0.11764705882352941
real_295	6217	126903	0.84
real_295	6216	126903	0.7407407407407407
real_295	12811	126903	0.13253012048192772
real_295	45473	126903	0.84
real_295	19971	126903	0.2222222222222222
real_295	6218	126904	0.7777777777777778
real_295	6219	126905	0.8666666666666667
real_295	39234	126905	0.7272727272727273
real_295	39524	126905	0.7272727272727273
real_295	6221	126905	0.6486486486486487
real_295	39652	126905	0.7272727272727273
real_295	35140	126905	0.7272727272727273
real_295	6220	126906	0.8095238095238095
real_295	6221	126907	0.8857142857142857
real_295	39524	126907	0.7714285714285715
real_295	6222	126908	0.8095238095238095
real_295	6223	126909	0.8095238095238095
real_295	6224	126910	0.8181818181818182
real_295	6225	126911	0.8181818181818182
real_295	6444	127625	0.875
real_295	6443	127626	0.6
real_295	6451	127634	0.8181818181818182
real_295	6452	127635	0.8181818181818182
real_295	6459	127635	0.48148148148148145
real_295	6453	127636	0.8095238095238095
real_295	6040	127636	0.4642857142857143
real_295	6459	127636	0.56
real_295	6454	127637	0.8095238095238095
real_295	1621	127637	0.56
real_295	6455	127638	0.8095238095238095
real_295	6458	127638	0.56
real_295	6456	127639	0.8181818181818182
real_295	1618	127639	0.56
real_295	16554	127639	0.3548387096774194
real_295	6457	127640	0.8181818181818182
real_295	16554	127640	0.4
real_295	6041	127640	0.40625
real_295	6458	127641	0.8181818181818182
real_295	6042	127641	0.43333333333333335
real_295	15653	127641	0.43333333333333335
real_295	6459	127642	0.8181818181818182
real_295	48089	127642	0.43333333333333335
real_295	6460	127643	0.8181818181818182
real_295	6461	127644	0.7894736842105263
real_295	6462	127645	0.7777777777777778
real_295	6463	127646	0.8666666666666667
real_295	6464	127647	0.6363636363636364
real_295	48078	127647	0.6363636363636364
real_295	46211	127647	0.09523809523809523
real_295	6060	127647	0.6363636363636364
real_295	6465	127648	0.8857142857142857
real_295	6466	127649	0.8518518518518519
real_295	6467	127650	0.8666666666666667
real_295	6468	127651	0.8
real_295	6469	127652	0.75
real_295	6470	127653	0.75
real_295	6471	127654	0.7142857142857143
real_295	3234	127654	0.35294117647058826
real_295	6472	127655	0.6
real_295	6473	127655	0.6
real_295	6088	127655	0.21428571428571427
real_295	46152	127655	0.1724137931034483
real_295	6473	127656	0.6
real_295	6472	127656	0.6
real_295	6088	127656	0.21428571428571427
real_295	46153	127656	0.1724137931034483
real_295	46152	127656	0.1724137931034483
real_295	6474	127657	0.8518518518518519
real_295	4149	127657	0.7666666666666667
real_295	4147	127657	0.5277777777777778
real_295	4148	127657	0.5277777777777778
real_295	4146	127657	0.5277777777777778
real_295	4152	127657	0.425
real_295	4150	127657	0.4864864864864865
real_295	6475	127658	0.8823529411764706
real_295	4246	127658	0.375
real_295	35423	127658	0.375
