recall;bm25;e5;e5_hybrid;bge_m3_hybrid
0.487288000;0.216581;0.140501;0.694203;0.693820
0.488347000;0.216581;0.140292;0.694203;0.693820
0.489407000;0.216581;0.139873;0.694203;0.693820
0.490466000;0.216581;0.139843;0.694203;0.693820
0.491525000;0.216581;0.139843;0.694203;0.693820
0.492585000;0.216581;0.139138;0.694203;0.693820
0.493644000;0.210764;0.138690;0.694203;0.693820
0.494703000;0.207004;0.138658;0.694203;0.693820
0.495763000;0.206972;0.137405;0.694203;0.693820
0.496822000;0.206972;0.137094;0.694203;0.693820
0.497881000;0.206972;0.136153;0.694203;0.693820
0.498941000;0.206972;0.135892;0.694203;0.693820
0.500000000;0.206972;0.134490;0.694203;0.693820
0.501059000;0.206972;0.134490;0.694203;0.693820
0.502119000;0.206972;0.134409;0.694203;0.693820
0.503178000;0.206972;0.134409;0.694203;0.693820
0.504237000;0.204819;0.133408;0.694203;0.693820
0.505297000;0.203933;0.131116;0.694203;0.693820
0.506356000;0.175027;0.130959;0.694203;0.693820
0.507415000;0.174055;0.128902;0.694203;0.693820
0.508475000;0.173960;0.128617;0.657005;0.693820
0.509534000;0.173960;0.128055;0.657005;0.693820
0.510593000;0.170370;0.128055;0.657005;0.693820
0.511653000;0.170370;0.127676;0.657005;0.693820
0.512712000;0.170370;0.126556;0.657005;0.693820
0.513771000;0.170370;0.126556;0.657005;0.693820
0.514831000;0.170370;0.126556;0.657005;0.693820
0.515890000;0.170370;0.126556;0.657005;0.693820
0.516949000;0.170370;0.126556;0.657005;0.693820
0.518008000;0.170370;0.126413;0.657005;0.693820
0.519068000;0.170370;0.126413;0.657005;0.693820
0.520127000;0.170370;0.126413;0.657005;0.693820
0.521186000;0.170370;0.126413;0.657005;0.693820
0.522246000;0.170370;0.126181;0.657005;0.693820
0.523305000;0.170370;0.126181;0.657005;0.693820
0.524364000;0.170370;0.125826;0.657005;0.676225
0.525424000;0.170370;0.125695;0.657005;0.676225
0.526483000;0.170370;0.125695;0.657005;0.676225
0.527542000;0.170370;0.125189;0.657005;0.676225
0.528602000;0.170370;0.125000;0.657005;0.676225
0.529661000;0.170370;0.125000;0.657005;0.676225
0.530720000;0.170370;0.124721;0.657005;0.676225
0.531780000;0.170370;0.124721;0.657005;0.676225
0.532839000;0.170370;0.124721;0.657005;0.676225
0.533898000;0.170370;0.123714;0.657005;0.676225
0.534958000;0.170370;0.123714;0.657005;0.676225
0.536017000;0.170370;0.123549;0.657005;0.676225
0.537076000;0.170306;0.123549;0.657005;0.676225
0.538136000;0.168261;0.123549;0.657005;0.676225
0.539195000;0.168261;0.123549;0.657005;0.676225
0.540254000;0.168261;0.123549;0.657005;0.676225
