recall;bm25;e5;e5_hybrid;bge_m3;bge_m3_hybrid
0.471503000;0.081619;0.080380;0.482838;0.078489;0.545455
0.474093000;0.081619;0.080380;0.482838;0.078489;0.545455
0.476684000;0.081619;0.080380;0.482838;0.078489;0.545455
0.479275000;0.081619;0.080380;0.482838;0.078489;0.545455
0.481865000;0.081619;0.080380;0.482838;0.078489;0.545455
0.484456000;0.081619;0.079091;0.482838;0.078489;0.545455
0.487047000;0.081619;0.079091;0.482838;0.078489;0.545455
0.489637000;0.081619;0.078586;0.482838;0.078489;0.545455
0.492228000;0.081619;0.077896;0.482838;0.078489;0.545455
0.494819000;0.081619;0.077896;0.482838;0.078489;0.545455
0.497409000;0.081619;0.077576;0.482838;0.078489;0.545455
0.500000000;0.081619;0.077107;0.482838;0.078489;0.512295
0.502591000;0.081619;0.077107;0.482838;0.078489;0.512295
0.505181000;0.081619;0.075973;0.482838;0.078489;0.512295
0.507772000;0.081619;0.075973;0.482838;0.078489;0.512295
0.510363000;0.081619;0.075973;0.482838;0.078489;0.512295
0.512953000;0.081619;0.075973;0.482838;0.078489;0.512295
0.515544000;0.081619;0.075973;0.482838;0.078489;0.512295
0.518135000;0.081619;0.075973;0.482838;0.078489;0.512295
0.520725000;0.081619;0.075973;0.482838;0.078489;0.512295
0.523316000;0.081619;0.075973;0.482838;0.078489;0.512295
0.525907000;0.081619;0.075973;0.482838;0.078489;0.512295
0.528497000;0.081619;0.075249;0.482838;0.078489;0.512295
0.531088000;0.081619;0.075229;0.482838;0.078489;0.512295
0.533679000;0.081619;0.074773;0.482838;0.078489;0.512295
0.536269000;0.081619;0.074087;0.482838;0.078489;0.512295
0.538860000;0.081619;0.073878;0.482838;0.078489;0.512295
0.541451000;0.081619;0.073878;0.482838;0.078489;0.512295
0.544041000;0.081619;0.073840;0.482838;0.078489;0.512295
0.546632000;0.081619;0.073322;0.482838;0.078489;0.512295
0.549223000;0.081619;0.073322;0.481153;0.078489;0.512295
0.551813000;0.081619;0.073322;0.481153;0.078445;0.512295
0.554404000;0.081619;0.073220;0.481153;0.078445;0.512295
0.556995000;0.081619;0.073220;0.481153;0.078445;0.512295
0.559585000;0.081619;0.073220;0.481153;0.078445;0.512295
0.562176000;0.081619;0.072843;0.481153;0.078445;0.512295
0.564767000;0.081619;0.072377;0.433824;0.078445;0.512295
0.567358000;0.081619;0.072230;0.433824;0.078445;0.512295
0.569948000;0.081619;0.071061;0.433824;0.078445;0.512295
0.572539000;0.081619;0.071061;0.433824;0.078445;0.512295
0.575130000;0.081619;0.070732;0.433824;0.078445;0.512295
0.577720000;0.081619;0.070732;0.433824;0.078445;0.512295
0.580311000;0.081619;0.070732;0.433824;0.078445;0.512295
0.582902000;0.081619;0.070732;0.433824;0.078445;0.512295
0.585492000;0.081619;0.070186;0.433824;0.078445;0.512295
0.588083000;0.081619;0.070128;0.433824;0.077001;0.512295
0.590674000;0.081619;0.070128;0.433824;0.076975;0.512295
0.593264000;0.081619;0.070128;0.433824;0.076974;0.512295
0.595855000;0.081619;0.070128;0.433824;0.076974;0.512295
0.598446000;0.081619;0.070128;0.433824;0.076974;0.512295
0.601036000;0.081619;0.069130;0.433824;0.076974;0.512295
0.603627000;0.081619;0.068711;0.433824;0.076418;0.512295
0.606218000;0.081619;0.067880;0.433824;0.076101;0.512295
0.608808000;0.081619;0.067880;0.433824;0.076101;0.512295
